GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b1595	894	135	113	130	102	169	191	147	115	169	200	99.22%	98.77%	99.11%	98.32%	99.66%	97.54%	99.33%	97.76%	99.22%	99.44%	19.7245492989797	17.6076849565593	18.867944414951	16.13587204602	23.574618775328	25.7430118232383	22.4822895167863	15.4155126791489	23.4127209186629	27.6057213695648	ynfL	LysR family putative transcriptional regulator; 	K05817|1|8e-41|171|cfd:CFNIH1_24120|LysR family transcriptional regulator, hca operon transcriptional activator	-	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding	GO:0006355//regulation of transcription, DNA-templated
b2475	864	1040	900	1047	910	1081	1167	1060	988	1320	1299	99.88%	99.65%	99.65%	99.77%	99.77%	99.42%	99.77%	99.54%	99.88%	99.88%	157.228197498451	145.10758067076	157.235893833632	148.955806830055	156.029761321635	162.749859106317	167.746258800133	137.037950031574	189.218193223316	185.524825583356	ypfJ	putative neutral zinc metallopeptidase; 	K07054|1|1e-146|522|sfv:SFV_2520|uncharacterized protein	GO:0016021//integral component of membrane	GO:0008237//metallopeptidase activity	GO:0006508//proteolysis
b0914	1749	2990	2245	3303	1998	2355	2266	3223	2718	3384	3655	99.89%	99.89%	99.71%	99.83%	99.83%	99.83%	99.83%	99.89%	99.66%	99.83%	223.301796790253	178.808380709904	245.040301886394	161.560602019448	167.917745494509	156.111035246958	251.959777547	186.233280806236	239.631136454465	257.872003932387	msbA	fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component; 	K11085|1|0.0|1055|sdy:SDY_2344|ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0015419//sulfate transmembrane-transporting ATPase activity;GO:0008144//drug binding;GO:0015437//lipopolysaccharide-transporting ATPase activity;GO:0008289//lipid binding;GO:0005524//ATP binding;GO:0034040//lipid-transporting ATPase activity	GO:0055085//transmembrane transport;GO:0006200//ATP catabolic process;GO:0006869//lipid transport
b2140	948	197	182	183	115	125	157	200	236	294	244	99.05%	99.37%	99.16%	99.16%	99.47%	99.37%	98.31%	99.05%	98.84%	99.16%	27.1436800549906	26.7438781590667	25.0473340001202	17.1561285373885	16.4436100176198	19.9551420101072	28.8457860845703	29.833301477688	38.4097690271496	31.7605571554398	dusC	tRNA-dihydrouridine synthase C; 	K05541|1|0.0|637|ecoh:ECRM13516_2843|tRNA-dihydrouridine synthase C [EC:1.-.-.-]	-	GO:0050660//flavin adenine dinucleotide binding;GO:0017150//tRNA dihydrouridine synthase activity	GO:0002943//tRNA dihydrouridine synthesis;GO:0055114//oxidation-reduction process
b1222	1797	599	546	563	478	989	784	692	531	867	874	99.67%	99.55%	98.72%	99%	99.67%	99.17%	99.39%	98.22%	99.55%	99.94%	43.5401162303403	42.325870609007	40.6517337392319	37.6192045193505	68.6346948533772	52.569215169146	52.652468569993	35.4114813867048	59.754927372754	60.0164051932045	narX	sensory histidine kinase in two-component regulatory system with NarL; 	K07673|1|0.0|1150|sft:NCTC1_01293|two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0005524//ATP binding;GO:0046983//protein dimerization activity;GO:0004721//phosphoprotein phosphatase activity;GO:0000155//phosphorelay sensor kinase activity	GO:0000160//phosphorelay signal transduction system;GO:0046777//protein autophosphorylation;GO:0071250//cellular response to nitrite;GO:0023014//signal transduction by phosphorylation;GO:0042128//nitrate assimilation;GO:0071249//cellular response to nitrate;GO:0006974//cellular response to DNA damage stimulus
b2779	1299	32050	19669	27991	19761	16808	21038	22665	23066	28909	28679	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	3222.77303737276	2109.2811116587	2795.9410973784	2151.4415685237	1613.62413501459	1951.45619694221	2385.65309870375	2127.94690644161	2756.30085974026	2724.34106213637	eno	enolase; 	K01689|1|0.0|779|sdz:Asd1617_04016|enolase [EC:4.2.1.11]	GO:0005856//cytoskeleton;GO:0009986//cell surface;GO:0000015//phosphopyruvate hydratase complex;GO:0005576//extracellular region;GO:0016020//membrane	GO:0042802//identical protein binding;GO:0004634//phosphopyruvate hydratase activity;GO:0000287//magnesium ion binding	GO:0006096//glycolytic process
b1488	582	57	30	91	24	33	38	52	64	46	52	92.1%	96.56%	99.48%	93.3%	94.33%	96.56%	96.56%	97.77%	94.16%	98.8%	12.7927145625227	7.18058131154277	20.2879031183442	5.83200711911943	7.07109135108204	7.86727116873619	12.2163390964345	13.178155886003	9.7889824422934	11.025212843886	ddpX	D-ala-D-ala dipeptidase, Zn-dependent; 	K08641|1|1e-108|395|ssj:SSON53_09585|D-alanyl-D-alanine dipeptidase [EC:3.4.13.22]	GO:0005618//cell wall;GO:0005576//extracellular region	GO:0009046;GO:0016805//dipeptidase activity	GO:0009252//peptidoglycan biosynthetic process;GO:0042594//response to starvation;GO:0006508//proteolysis
b2324	2007	507	659	589	676	407	522	453	461	678	701	99.9%	99.85%	99.9%	99.8%	99.85%	99.85%	99.85%	99.8%	99.85%	99.85%	32.9967696992265	45.7403387322121	38.0791001448894	47.6353227223342	25.2896331430328	31.3391085168585	30.8611105114654	27.5265133013077	41.8393591538226	43.0999998703987	mnmC	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme; 	K15461|1|0.0|1251|eko:EKO11_1441|tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]	GO:0005737//cytoplasm	GO:0004808//tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity;GO:0016645//oxidoreductase activity, acting on the CH-NH group of donors;GO:0071949//FAD binding	GO:0030488//tRNA methylation;GO:0002097;GO:0055114//oxidation-reduction process
b2070	1947	168	183	160	185	182	177	214	185	158	184	94.76%	99.02%	96.82%	99.9%	94.2%	98.2%	99.59%	99.38%	93.53%	98.25%	11.270785095065	13.0932202220026	10.6628373794579	13.4380287304312	11.657379344633	10.9539517229772	15.028254531456	11.3868455014601	10.0506427889454	11.6616095079813	yegI	protein kinase-related putative non-specific DNA-binding protein; 	-	-	GO:0003677//DNA binding;GO:0004672//protein kinase activity;GO:0005524//ATP binding	GO:0006468//protein phosphorylation;GO:0006281//DNA repair
b3164	2136	16281	13413	18151	12934	16314	15511	18025	18284	17281	18076	99.95%	99.95%	99.95%	99.91%	99.95%	99.91%	100%	99.95%	99.95%	99.95%	995.613247677205	874.754148106475	1102.60019019642	856.369904919592	952.477449544653	874.987919909219	1153.81118651056	1025.81162286292	1002.00600523763	1044.25775143205	pnp	polynucleotide phosphorylase/polyadenylase; 	K00962|1|0.0|1238|ebl:ECD_03031|polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	GO:0005829//cytosol;GO:0016020//membrane	GO:0003723//RNA binding;GO:0004654//polyribonucleotide nucleotidyltransferase activity;GO:0042802//identical protein binding;GO:0035438//cyclic-di-GMP binding;GO:0016301//kinase activity;GO:0000175//3'-5'-exoribonuclease activity	GO:0006396//RNA processing;GO:0006402//mRNA catabolic process;GO:0016310//phosphorylation;GO:0006950//response to stress
b0031	822	1380	881	956	990	1896	1462	1558	1193	1700	1659	99.76%	99.88%	99.76%	99.88%	99.88%	99.64%	99.88%	99.76%	99.76%	99.88%	219.289636488575	149.30193117774	150.905416858129	170.330791864063	287.648430117275	214.308335290656	259.153068821977	173.926708175656	256.141416174894	249.046929600879	dapB	dihydrodipicolinate reductase; 	K00215|1|4e-141|503|eun:UMNK88_29|4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	GO:0005829//cytosol	GO:0008839//4-hydroxy-tetrahydrodipicolinate reductase;GO:0016726//oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor;GO:0051287//NAD binding;GO:0070402//NADPH binding	GO:0009089//lysine biosynthetic process via diaminopimelate;GO:0019877//diaminopimelate biosynthetic process;GO:0055114//oxidation-reduction process
b0151	798	193	523	867	490	175	168	163	217	251	252	95.24%	99.5%	99.5%	99%	99.5%	99.5%	99.25%	94.74%	99.5%	98.87%	31.5911369641191	91.2977620340542	140.972681512817	86.8406323219757	27.3483198187782	25.3670460953156	27.9283599557152	32.5877588398117	38.9559260416014	38.9676551121962	fhuC	iron-hydroxamate transporter subunit; 	K02013|1|7e-149|529|ecol:LY180_00735|iron complex transport system ATP-binding protein [EC:3.6.3.34]	GO:0005886//plasma membrane	GO:0015416//organic phosphonate transmembrane-transporting ATPase activity;GO:0005524//ATP binding;GO:0015623	GO:0006200//ATP catabolic process;GO:0006811//ion transport;GO:0055072//iron ion homeostasis
b0369	975	1168	1130	1444	1088	1684	1406	1300	1001	1597	1507	99.69%	99.79%	99.59%	99.9%	99.69%	99.49%	99.69%	99.69%	99.69%	99.69%	156.476479252423	161.448926678606	192.16811590737	157.817103416253	215.39368391917	173.757761382118	182.305368054485	123.034557890696	202.86307440177	190.728353645729	hemB	5-aminolevulinate dehydratase (porphobilinogen synthase); 	K01698|1|6e-170|600|sdz:Asd1617_00651|porphobilinogen synthase [EC:4.2.1.24]	GO:0005829//cytosol	GO:0046872//metal ion binding;GO:0004655//porphobilinogen synthase activity	GO:0006782//protoporphyrinogen IX biosynthetic process
b3954	852	159	145	204	172	300	254	170	162	224	239	97.65%	99.53%	97.65%	99.41%	99.41%	99.77%	99.06%	99.18%	99.3%	99.41%	24.3763326782539	23.7077174053636	31.0677160583343	28.5508235843276	43.9113867512777	35.92176187089	27.2816131771676	22.7862611787688	32.5620040578921	34.6150473130835	yijO	AraC family putative transcriptional activator; 	K07720|1|9e-18|94.4|tap:GZ22_05545|two-component system, response regulator YesN	GO:0005622//intracellular	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0043565//sequence-specific DNA binding	GO:0006355//regulation of transcription, DNA-templated
b1937	315	8	9	15	6	14	10	7	4	5	6	72.06%	85.71%	88.57%	58.41%	97.14%	75.56%	91.43%	63.81%	60.32%	81.27%	3.31734218897831	3.98009364125514	6.17873344577516	2.69383185978374	5.54259281660572	3.82518949056346	3.03842280090808	1.52176323921701	1.96590330621627	2.35042999089438	fliE	flagellar basal-body component; 	K02408|1|2e-49|197|ssj:SSON53_11825|flagellar hook-basal body complex protein FliE	GO:0009425//bacterial-type flagellum basal body	GO:0005198//structural molecule activity;GO:0003774//motor activity	GO:0001539//cilium or flagellum-dependent cell motility
b0850	288	119	96	119	114	139	127	119	81	127	132	99.65%	98.96%	98.96%	99.65%	98.26%	99.65%	99.65%	98.96%	98.96%	98.26%	53.971602410526	46.4344258146432	53.6133850034449	55.9811933361307	60.1890938678277	53.1342727673581	56.4956739543845	33.7046779935956	54.6152512258208	56.5572216558959	ybjC	DUF1418 family protein; 	-	-	-	-
b4303	807	133	158	146	138	279	245	148	195	182	223	98.39%	99.26%	96.41%	98.64%	99.75%	95.66%	99.63%	99.75%	98.88%	99.38%	21.5272693629563	27.2737519654782	23.4745932400826	24.1844012690622	43.1147786942285	36.5810407601283	25.0754595465276	28.9573441663275	27.9319049678758	34.0987101838859	sgcQ	putative nucleoside triphosphatase; 	K06971|1|4e-152|540|ecoj:P423_24440|uncharacterized protein	-	GO:0003824//catalytic activity	GO:0008152//metabolic process
b3457	927	194	225	253	150	190	144	240	206	240	228	99.24%	99.14%	99.46%	98.06%	98.38%	99.03%	99.46%	99.35%	99.14%	99.03%	27.3358658533528	33.8114751077499	35.4127408817728	22.8844939544735	25.5605008532788	18.71743207033	35.3991005931038	26.6308566862977	32.065218975178	30.3502125037817	livH	leucine/isoleucine/valine transporter subunit; 	K01997|1|7e-141|503|sbc:SbBS512_E3865|branched-chain amino acid transport system permease protein	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0005215//transporter activity	GO:0006865//amino acid transport
b4109	2229	415	445	273	313	891	823	653	482	610	703	99.37%	99.51%	99.64%	99.6%	99.64%	99.64%	98.97%	99.73%	99.6%	99.55%	24.3191766293287	27.8106587988106	15.89173568624	19.8593055342738	49.8497664831329	44.4890645796826	40.0556545557128	25.9140099383489	33.8939722108081	38.9181224266192	crfC	clamp-binding sister replication fork colocalization protein, dynamin-related; 	-	-	GO:0003924//GTPase activity;GO:0005525//GTP binding	GO:0006184//GTP catabolic process
b0998	600	71	49	89	69	85	80	81	79	89	91	97.17%	93.5%	96.5%	96.83%	98%	99.83%	99.33%	97.33%	96.83%	98.17%	15.4567412617708	11.3764343245876	19.2467546835896	16.2640098534443	17.6670146029307	16.0657958603665	18.4584185155166	15.7787825866314	18.3713663965911	18.7152988024965	torD	TorA-maturation chaperone; 	K03533|1|2e-109|397|elp:P12B_c0985|TorA specific chaperone	GO:0005737//cytoplasm	GO:0042277//peptide binding;GO:0043546//molybdopterin cofactor binding;GO:0005515//protein binding	GO:0006457//protein folding;GO:0051604//protein maturation
b0763	774	261	184	291	219	224	230	225	202	288	265	99.61%	98.84%	99.35%	97.67%	99.1%	99.1%	97.55%	97.93%	99.22%	98.84%	44.0463966516233	33.1160246119936	48.7832559265271	40.0159325682991	36.0913020616186	35.8055527895766	39.7468098955998	31.2757735501869	46.0844309922326	42.2485235766382	modA	molybdate transporter subunit; 	K02020|1|9e-141|502|elp:P12B_c0725|molybdate transport system substrate-binding protein	GO:0030288//outer membrane-bounded periplasmic space	GO:0015412//molybdate transmembrane-transporting ATPase activity	GO:0015689//molybdate ion transport
b2573	576	1658	2027	2162	2076	2373	2132	1351	1659	1619	1872	99.83%	99.65%	99.48%	99.83%	99.65%	99.83%	99.48%	99.65%	99.83%	99.83%	375.987045364084	490.221776699385	487.025791501882	509.723497218454	513.772373195522	445.993187165384	320.696031564594	345.160869082562	348.118471396078	401.042117196353	rpoE	RNA polymerase sigma E factor; 	K03088|1|1e-101|371|sdz:Asd1617_03789|RNA polymerase sigma-70 factor, ECF subfamily	GO:0005737//cytoplasm	GO:0003899//DNA-directed RNA polymerase activity;GO:0003677//DNA binding;GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0016987//sigma factor activity	GO:0006355//regulation of transcription, DNA-templated;GO:0009266//response to temperature stimulus;GO:0006970//response to osmotic stress;GO:0006352//DNA-templated transcription, initiation
b1565	306	52	45	47	30	58	59	64	53	67	66	99.35%	96.73%	96.73%	89.87%	98.69%	98.37%	98.69%	95.75%	98.69%	96.41%	22.1969219997813	20.4857760946955	19.9294441535297	13.8653110430045	23.6375281884656	23.2324008765104	28.5969204791348	20.7564030054968	27.1179014886892	26.6151631321863	ydfV	Qin prophage; uncharacterized protein; 	-	-	-	-
b3017	1413	1761	1465	1713	1319	2057	1693	1859	1792	1995	2120	99.93%	99.5%	99.65%	99.65%	99.72%	99.93%	99.72%	99.72%	99.86%	99.65%	162.790116096877	144.429795792892	157.301895431613	132.017778988234	181.546392098057	144.370447938432	179.886241620641	151.982468731992	174.865220836371	185.140026883612	ftsP	septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts); 	K04753|1|0.0|884|ebe:B21_02839|suppressor of ftsI	GO:0032155;GO:0030288//outer membrane-bounded periplasmic space	GO:0016491//oxidoreductase activity;GO:0005507//copper ion binding	GO:0043093//cytokinesis by binary fission;GO:0007049//cell cycle;GO:0055114//oxidation-reduction process
b1988	918	76	70	398	72	88	87	85	55	91	64	97.39%	94.44%	99.13%	92.81%	97.28%	92.37%	99.35%	95.64%	97.39%	98.47%	10.8138850768165	10.6222542713236	56.2547430716653	11.0922488344036	11.9546119573849	11.4193156850645	12.6600950037836	7.17988783209008	12.2772588829389	8.60288101242386	nac	nitrogen assimilation regulon transcriptional regulator; autorepressor; 	K19338|1|4e-158|560|ebe:B21_01887|LysR family transcriptional regulator, nitrogen assimilation regulatory protein	-	GO:0003677//DNA binding;GO:0003700//sequence-specific DNA binding transcription factor activity	GO:0042128//nitrate assimilation;GO:0045892//negative regulation of transcription, DNA-templated;GO:0045893//positive regulation of transcription, DNA-templated
b3484	1137	24	37	27	16	16	36	28	10	24	27	86.37%	91.56%	83.47%	63.5%	54.35%	91.47%	85.58%	44.77%	56.2%	76.78%	2.75715775601099	4.53317613493879	3.08121535950265	1.99016601778218	1.75491065433426	3.8150966423034	3.36711761578204	1.05399168943131	2.61428830167019	2.93028541081159	yhhI	putative transposase; 	-	-	GO:0004803//transposase activity;GO:0003677//DNA binding	GO:0006313//transposition, DNA-mediated
b2158	1050	187	184	278	127	199	114	166	130	179	192	99.43%	99.33%	99.62%	99.05%	99.14%	99.05%	99.33%	99.62%	99.05%	99.14%	23.2628621002104	24.4112409996982	34.3537579585099	17.1058323096267	23.6351993679544	13.082148057727	21.6162079264603	14.8371915823659	21.1138015087628	22.564127912586	yeiH	UPF0324 family inner membrane protein; 	K19239|1|3e-65|252|hiu:HIB_18220|predicted membrane protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	-
b1294	1644	1062	838	921	678	697	871	895	852	1077	1077	99.7%	99.88%	99.7%	99.64%	99.88%	99.88%	99.76%	99.82%	99.76%	99.76%	84.3788383879952	71.0073883807866	72.6903184761176	58.325392365573	52.8720874978219	63.8380848283725	74.4358140550929	62.10626796549	81.1365603589296	80.8389219952222	sapA	antimicrobial peptide transport ABC transporter periplasmic binding protein; 	K19226|1|0.0|1050|ebe:B21_01282|cationic peptide transport system substrate-binding protein	GO:0042597//periplasmic space	GO:0005215//transporter activity	GO:0015031//protein transport;GO:0015833//peptide transport
b2471	357	205	386	154	158	206	280	201	248	170	195	98.88%	99.44%	98.04%	97.76%	97.48%	99.16%	97.48%	99.16%	97.48%	98.32%	75.0060825816786	150.619229953381	55.9720559205515	62.5919755655633	71.9605537954272	94.5046815315679	76.9818886112424	83.2494007336366	58.9770991864882	67.4020365035887	yffB	putative ArsC family reductase; 	K00537|1|6e-29|129|mms:mma_2071|arsenate reductase [EC:1.20.4.1];K00540|4|9e-28|125|bme:BMEI1557|	-	-	-
b4384	720	6054	4542	4030	4563	4295	5284	4881	4809	5103	5223	99.72%	99.44%	99.72%	99.58%	99.86%	99.86%	99.72%	99.86%	99.86%	99.58%	1098.29943191033	878.771508542123	726.258627105489	896.28836909742	743.919879603799	884.288180481009	926.90885570202	800.423686277536	877.800400016893	895.14657184468	deoD	purine-nucleoside phosphorylase; 	K03784|1|5e-133|476|sbc:SbBS512_E4931|purine-nucleoside phosphorylase [EC:2.4.2.1]	GO:0016020//membrane;GO:0005829//cytosol	GO:0042802//identical protein binding;GO:0004731//purine-nucleoside phosphorylase activity	GO:0019686;GO:0006152//purine nucleoside catabolic process;GO:0006974//cellular response to DNA damage stimulus
b3325	1953	169	121	115	119	142	208	151	165	174	128	98.62%	97.13%	99.54%	94.57%	97.13%	98.82%	98.98%	97.7%	99.23%	96.11%	11.3030409261559	8.63066900702279	7.64036931466821	8.61736535791034	9.06737534513839	12.8328937747936	10.5714710354175	10.124634454468	11.0344250090849	8.08750104393764	gspD	general secretory pathway component, cryptic; 	K02453|1|0.0|1217|eun:UMNK88_4086|general secretion pathway protein D	GO:0005886//plasma membrane;GO:0009279//cell outer membrane;GO:0015627//type II protein secretion system complex	GO:0008565//protein transporter activity	GO:0015628//protein secretion by the type II secretion system
b1207	948	7306	5230	8648	5666	7151	4263	7775	5526	8829	8240	99.89%	99.89%	99.79%	99.89%	99.89%	99.89%	99.89%	99.89%	99.68%	99.89%	1006.6585100597	768.519136109444	1183.65761985267	845.274993850811	940.706041887994	541.839301841318	1121.37993403767	698.554338837728	1153.46888007042	1072.56963508534	prs	phosphoribosylpyrophosphate synthase; 	K00948|1|4e-173|610|sdz:Asd1617_01651|ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	GO:0005737//cytoplasm	GO:0005524//ATP binding;GO:0000287//magnesium ion binding;GO:0016301//kinase activity;GO:0004749//ribose phosphate diphosphokinase activity	GO:0009156//ribonucleoside monophosphate biosynthetic process;GO:0009165//nucleotide biosynthetic process;GO:0009116//nucleoside metabolic process;GO:0006015//5-phosphoribose 1-diphosphate biosynthetic process;GO:0016310//phosphorylation
b0023	264	8208	5594	8968	5115	5891	6289	9109	7156	8280	9157	98.86%	99.62%	99.62%	99.62%	99.62%	99.62%	99.62%	99.24%	99.62%	99.62%	4061.10538657537	2951.75202280812	4407.68375899979	2740.13209487377	2782.79098999639	2870.39176607515	4717.66931138721	3248.35926898545	3884.44621460097	4280.1196587028	rpsT	30S ribosomal subunit protein S20; 	K02968|1|3e-40|167|sdz:Asd1617_00050|small subunit ribosomal protein S20	GO:0022627//cytosolic small ribosomal subunit	GO:0003735//structural constituent of ribosome;GO:0008073//ornithine decarboxylase inhibitor activity;GO:0070181//SSU rRNA binding	GO:0006412//translation
b0168	795	2307	2466	3084	2218	3352	2510	2599	2292	2885	3045	99.75%	99.75%	99.87%	99.75%	99.87%	99.87%	99.87%	99.87%	99.75%	99.87%	379.045464692057	432.102996448718	503.345274065638	394.570126933984	525.814277016859	380.425920844529	446.992124126043	345.497680330157	449.450006819294	472.635992980317	map	methionine aminopeptidase; 	K01265|1|8e-151|536|sdz:Asd1617_00224|methionyl aminopeptidase [EC:3.4.11.18]	GO:0005829//cytosol	GO:0070006//metalloaminopeptidase activity;GO:0008198//ferrous iron binding	GO:0070084//protein initiator methionine removal;GO:0009405//pathogenesis;GO:0006508//proteolysis
b2310	783	1909	1069	2339	955	4974	3013	2667	1292	2932	2960	99.74%	99.74%	99.74%	99.62%	99.74%	99.87%	99.74%	99.74%	99.87%	99.87%	318.460083845669	190.185445194841	387.60307550834	172.492969182512	792.208524994162	463.661330721115	465.716874139186	197.741763440785	463.772407549227	466.483806621949	argT	lysine/arginine/ornithine transporter subunit; 	K10013|1|4e-143|510|ebe:B21_02195|lysine/arginine/ornithine transport system substrate-binding protein	GO:0030288//outer membrane-bounded periplasmic space	GO:0015426//polar-amino acid-transporting ATPase activity	GO:0006865//amino acid transport
b1617	1812	57	55	65	36	31	22	46	32	39	38	86.37%	87.58%	99.5%	80.19%	69.37%	45.81%	84.77%	67.88%	83.11%	66.56%	4.10891825352549	4.22830036391619	4.65450946660215	2.80979150937707	2.13353117526627	1.46294498728503	3.47104591494466	2.11635947175876	2.6656867678661	2.58780785421318	uidA	beta-D-glucuronidase; 	K01195|1|0.0|1261|rir:BN877_II1269|beta-glucuronidase [EC:3.2.1.31]	-	GO:0043169//cation binding;GO:0004566//beta-glucuronidase activity	GO:0019391//glucuronoside catabolic process
b3021	396	320	315	228	344	1124	605	315	237	371	398	99.24%	99.75%	99.49%	99.49%	99.49%	99.75%	99.24%	99.49%	99.75%	99.49%	105.551796922037	110.80942523949	74.7065043898269	122.855059059834	353.970132151411	184.087244233367	108.761725259778	71.7217390301428	116.032974687356	124.020794595298	mqsA	antitoxin for MqsR toxin; transcriptional repressor; 	K13655|1|2e-70|267|ecoh:ECRM13516_3790|HTH-type transcriptional regulator / antitoxin MqsA	-	GO:0046872//metal ion binding;GO:0043565//sequence-specific DNA binding	GO:0006355//regulation of transcription, DNA-templated
b2811	444	310	274	250	262	341	293	269	288	339	339	99.32%	98.87%	98.87%	99.77%	99.1%	98.65%	98.87%	99.77%	99.32%	98.87%	91.1988921040911	85.9664369811638	73.0593481763955	83.4541829534353	95.7782508680346	79.5148342413412	82.8380810923249	77.7333114086529	94.5626056550922	94.2157156823033	csdE	CsdA-binding activator; Fe-S protein; 	K02426|1|2e-77|290|ebe:B21_02623|cysteine desulfuration protein SufE	-	GO:0031071//cysteine desulfurase activity;GO:0005515//protein binding	GO:0016226//iron-sulfur cluster assembly
b3478	834	22	5	9	11	21	15	10	22	9	12	79.14%	47.6%	72.54%	66.55%	86.93%	77.7%	48.8%	74.7%	73.02%	71.94%	3.44562070887585	0.835151543428835	1.40021657224401	1.86533321226032	3.14013801660216	2.16714872217175	1.6394367630799	3.16121680089146	1.336531384442	1.77550466938064	nikC	nickel transporter subunit; 	K15586|1|3e-138|494|ssj:SSON53_20840|nickel transport system permease protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0016151//nickel cation binding;GO:0015413	GO:0035444//nickel cation transmembrane transport
b0827	1236	602	554	629	576	971	662	613	505	746	803	99.35%	99.76%	99.92%	99.43%	99.84%	99.92%	99.92%	99.92%	99.84%	99.84%	63.619296045303	62.4385240323115	66.0314644702622	65.9073425888836	97.9707091915805	64.5361459924918	67.8114020736644	48.9632862618217	74.7520417358838	80.168488949134	moeA	molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein; 	K03750|1|0.0|769|elp:P12B_c0812|molybdopterin molybdotransferase [EC:2.10.1.1]	-	GO:0046872//metal ion binding;GO:0005515//protein binding;GO:0016740//transferase activity	GO:0006777//Mo-molybdopterin cofactor biosynthetic process
b2367	1539	29	39	27	39	39	45	45	34	33	57	78.88%	78.95%	84.41%	90.25%	85.19%	87.52%	77.45%	71.22%	85.06%	95.65%	2.46133210658844	3.53010254731206	2.27637548002243	3.58389911170058	3.16025029016993	3.52320084657161	3.99792473803694	2.64751206822843	2.65569393997637	4.57028053785017	emrY	putative multidrug efflux system; 	K07786|1|0.0|893|sbo:SBO_2393|MFS transporter, DHA2 family, multidrug resistance protein	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	-	GO:0006974//cellular response to DNA damage stimulus;GO:0046677//response to antibiotic;GO:0055085//transmembrane transport
b2162	942	18	8	14	4	10	13	12	3	10	14	95.86%	62.95%	55.94%	34.08%	62.31%	71.76%	71.55%	31.85%	63.38%	71.66%	2.49593022976473	1.18304269591448	1.92839451492346	0.600535764919941	1.3238677109727	1.66286103650291	1.74177103236769	0.381652404739936	1.31477609651407	1.83393422856408	rihB	ribonucleoside hydrolase 2; 	K10213|1|0.0|637|edj:ECDH1ME8569_2098|ribosylpyrimidine nucleosidase [EC:3.2.2.8]	-	GO:0042802//identical protein binding;GO:0045437//uridine nucleosidase activity;GO:0005509//calcium ion binding	GO:0046133;GO:0006206//pyrimidine nucleobase metabolic process
b1794	1026	989	980	1364	1119	871	765	885	843	1096	1010	99.81%	99.71%	99.9%	99.81%	99.71%	99.9%	99.71%	99.71%	99.9%	99.71%	125.909868280136	133.057711398685	172.498675263922	154.245504076652	105.868384720693	89.8416215875761	117.93877977209	98.4640885374956	132.301843555186	121.473245874439	yeaP	diguanylate cyclase; 	K13069|1|0.0|674|eun:UMNK88_2259|diguanylate cyclase [EC:2.7.7.65]	GO:0005622//intracellular	GO:0052621;GO:0046872//metal ion binding;GO:0016849//phosphorus-oxygen lyase activity;GO:0005525//GTP binding	GO:0035556//intracellular signal transduction;GO:0009190//cyclic nucleotide biosynthetic process
